word,level,sentence,word_mean
cotton,b1,Cotton.,"the threads that grow around the seeds of a tall plant grown especially in the US, China , and South Asia :"
council,b2,Council.,"a group of people elected or chosen to make decisions or give advice on a particular subject , to represent a particular group of people , or to run a particular organization :"
count,b1,That's what counts. | You can count on me.,"to say numbers one after the other in order , or to calculate the number of people or things in a group :"
country,a1,"It's a free country. | There's a lot of people, whole countries who want respect.",an area of land with fixed borders that has full or limited control over its own government and laws :
countryside,b1,The countryside.,"land not in towns , cities , or industrial areas , that is either used for farming or left in its natural condition :"
county,b2,County General.,"a political division of the UK or Ireland, forming the largest unit of local government , or the largest political division of a state in the US:"
couple,a2,A couple of days.,"two or a few things that are similar or the same, or two or a few people who are in some way connected :"
courage,b2,Courage.,the ability to control your fear in a dangerous or difficult situation :
course,a1,Of course.,"a set of classes or a plan of study on a particular subject , usually leading to an exam or qualification :"
court,b1,"You made a good living, had police protection and there were courts of law. | Anything you say can and will be used against you in a court of law.","a place where trials and other legal cases happen , or the people present in such a place , especially the officials and those deciding if someone is guilty :"
cousin,a1,Cousin. | Cousins.,"a child of a person's aunt or uncle , or, more generally , a distant (= not close ) relation :"
cover,b1,Take cover! | That about covers it.,"to put or spread something over something, or to lie on the surface of something: | the blankets , sheets , etc. on a bed :"
cow,a1,Holy cow! | Cows.,a large female farm animal kept to produce meat and milk :
crash,b2,crash,"If a vehicle crashes or someone crashes it, it is involved in an accident , usually a serious one in which the vehicle is damaged and someone is hurt :"
creation,b2,It's my creation.,"the act of creating something, or the thing that is created :"
creature,b2,It was picked up by the most unlikely creature imaginable.,any large or small living thing that can move independently :
crew,b2,Crews. | What about the crew?,"a group of people who work together, especially all those who work on and operate a ship , aircraft , etc.:"
crime,a2,Is that a crime?,illegal activities :
crisis,b2,What crisis?,"a time of great disagreement , confusion , or suffering :"
crop,b2,They do not come to destroy Rohan's crops or villages. | You've been into Farmer Maggot's crop!,"(the total amount collected of) a plant such as a grain , fruit , or vegetable grown in large amounts :"
cross,a2,Cross my heart.,to go across from one side of something to the other:
crowd,a2,I hate crowds. | Crowd Cheering,a large group of people who have come together:
cry,b2,Don't cry. | baby cries,"to produce tears as the result of a strong emotion , such as unhappiness or pain : | third person singular of cry"
culture,a1,Culture?,"the way of life , especially the general customs and beliefs , of a particular group of people at a particular time :"
cup,a1,Cups. | Would you like a cup of tea?,"a small , round container , often with a handle , used for drinking tea , coffee , etc., or the drink that it contains :"
cupboard,a2,In the cupboard.,"a piece of furniture or a space for storing things, with a door or doors and usually with shelves :"
cure,b2,We don't need a cure!,to make someone with an illness healthy again:
currency,b1,Currency.,the money that is used in a particular country at a particular time :
current,b2,Does it make you feel responsible for Harvey Dent's current predicament?,of the present time :
curtain,b1,Curtain! | Close the curtains.,"a piece of material , especially cloth , that hangs across a window or opening to make a room or part of a room dark or private : | a short or medium-length hairstyle in which hair is parted (= separated ) in the middle of the head and falls on each side of the face :"
curve,b2,I'm just ahead of the curve.,a line that bends continuously and has no straight parts :
custom,b1,Custom-made. | Customs.,"a way of behaving or a belief that has been established for a long time : | the place at a port , airport , or border where travellers ' bags are looked at to find out if any goods are being carried illegally :"
