along,I'll go along with that.,exact,"from one part of a road , river , etc. to another:"
sleep,Try to get some sleep.,exact,the resting state in which the body is not active and the mind is unconscious :
send,"All right, send him in.",exact,"to cause something to go from one place to another, especially by post or email :"
stand,"Well, don't just stand there.",exact,"to be in a vertical state or to put into a vertical state , especially (of a person or animal ) by making the legs straight :"
makes,What makes you say that?,exact,"to produce something, often using a particular substance or material :"
probably,"Yeah, you're probably right.",exact,used to mean that something is very likely :
husband,I now pronounce you husband and wife.,exact,the man that you are married to:
thinking,What are you thinking about?,exact,the activity of using your mind to consider something:
sit,Why don't you sit down?,exact,"to ( cause someone to) be in a position in which the lower part of the body is resting on a seat or other type of support , with the upper part of the body vertical :"
fight,Do you want to fight?,exact,to use physical force to try to defeat another person or group of people :
change,What made you change your mind?,exact,"to exchange one thing for another thing, especially of a similar type :"
late,It's too late for that.,exact,( happening or being) near the end of a period of time :
captain,This is the captain speaking.,exact,the leader of a sports team :
couple,I'll be back in a couple of hours.,exact,"two or a few things that are similar or the same, or two or a few people who are in some way connected :"
able,Able to leap tall buildings at a single bound.,exact,"to have the necessary physical strength , mental power , skill , time , money , or opportunity to do something:"
mine,Your guess is as good as mine.,exact,the one(s) belonging to or connected with me:
supposed,What's that supposed to mean?,exact,to have to; to have a duty or a responsibility to:
gets,I'll see that she gets it.,exact,"to obtain , buy , or earn something:"
side,Whose side are you on?,exact,"a flat outer surface of an object , especially one that is not the top , the bottom , the front , or the back:"
office,I'll be in my office.,exact,"a room or part of a building in which people work , especially sitting at tables with computers , phones , etc., usually as a part of a business or other organization :"
cause,"I take care of both of them, which ain't easy, 'cause when they met, it was murder.",exact,"the reason why something, especially something bad , happens :"
stuff,What is all this stuff?,exact,"a substance , especially when you do not know or say exactly what it is:"
watch,Watch where you're going!,exact,"to look at something for a period of time , especially something that is changing or moving :"
kid,"Here's looking at you, kid.",exact,a child :
between,This is between you and me.,exact,"in or into the space that separates two places , people , or objects :"
important,That's the most important thing.,exact,necessary or of great value :
read,Don't you read the papers?,exact,to look at words or symbols and understand what they mean :
week,Lucille Ball and Desi Arnaz will be back next week at this same time.,exact,"a period of seven days , especially either from Monday to Sunday or from Sunday to Saturday :"
hit,Why did you hit me?,exact,"to move your hand or an object onto the surface of something so that it touches it, usually with force :"
they'll,They'll be here soon.,exact,short form of they will:
beautiful,So let's make the most of this beautiful day.,exact,very attractive :
making,You're making a big mistake.,exact,the activity or process of producing something:
